"","mRMR"
"A2ML1","0"
"AADACL3","0"
"AADAC","0"
"ABCA10","0"
"ABCA8","0"
"ABCA9","0"
"ABCB5","0"
"ABCC13","0.654729109274564"
"ABCD2","0"
"ACACB","0"
"ACADL","0"
"ACSM2A","0"
"ACSM5","0"
"ACTL8","0.654729109274564"
"ACVR1C","0"
"ADH1A","0"
"ADH1B","0"
"ADH4","0"
"ADIPOQ","0"
"ADRA1A","0"
"AIM1L","0.654729109274564"
"ALAS2","0"
"ALDH1L1","0"
"ANGPT4","0"
"ANGPTL5","0"
"ANGPTL7","0"
"ANLN","0.654729109274564"
"AOC3","0"
"APOB","0"
"AQP7P1","0"
"AQP7P3","0"
"AQP7","0"
"AQPEP","0"
"ASCL1","0"
"ASPA","0"
"ASPM","0.654729109274564"
"ATOH8","0"
"ATP1A2","0.654729109274564"
"ATP1A3","0"
"B3GALT1","0"
"BMP3","0"
"BMPR1B","0"
"BRSK2","0"
"BTNL9","0"
"BUB1","0"
"C12orf39","0"
"C13orf36","0"
"C14orf180","0"
"C14orf53","0"
"C17orf93","0.654729109274564"
"C1orf230","0"
"C2orf40","0"
"C2orf54","0.654729109274564"
"C3orf50","0"
"C6orf126","0"
"CA3","0"
"CA4","0"
"CA9","0.654729109274564"
"CAMP","0"
"CAPN9","0.654729109274564"
"CAPSL","0"
"CASP14","0.654729109274564"
"CBLN2","0"
"CCL11","0"
"CCL24","0"
"CCL7","0"
"CD177","0"
"CD300LG","0"
"CD36","0"
"CDC20B","0"
"CDC20","0.654729109274564"
"CDC25C","0"
"CDH20","0"
"CDO1","0"
"CEACAM5","0"
"CEACAM6","0"
"CELF3","0"
"CENPA","0.654729109274564"
"CENPF","0"
"CEP55","0"
"CES1","0"
"CFD","0"
"CGA","0.654729109274564"
"CHRDL1","0"
"CHRNA6","0"
"CHRNA9","0"
"CIB3","0.654729109274564"
"CIDEA","0"
"CIDEC","0"
"CILP2","0"
"CKAP2L","0"
"CLCA4","0.654729109274564"
"CLDN19","0"
"CLEC3A","0"
"CLEC3B","0"
"CLEC4GP1","0"
"CLEC4G","0"
"CLEC5A","0.654729109274564"
"CNGA2","0"
"CNIH2","0"
"CNN1","0"
"CNTNAP2","0"
"COL10A1","0"
"COL11A1","0"
"COMP","0"
"CPA1","0"
"CPA2","0"
"CPLX2","0.654729109274564"
"CRHBP","0"
"CSAG1","0"
"CSAG2","0.654729109274564"
"CSAG3","0.654729109274564"
"CSF3","0"
"CSMD3","0"
"CSN1S1","0"
"CSN2","0"
"CSN3","0"
"CST1","0"
"CST2","0.654729109274564"
"CST4","0"
"CST5","0.654729109274564"
"CXADRP3","0"
"CXCL10","0.654729109274564"
"CXCL11","0.654729109274564"
"CXCL2","0.654729109274564"
"CXorf30","0"
"CXorf61","0.654729109274564"
"CYP1A1","0"
"CYP2B6","0"
"CYP2B7P1","0.654729109274564"
"CYP3A4","0"
"DACT2","0.654729109274564"
"DCT","0"
"DEFB132","0.654729109274564"
"DEPDC1","0.654729109274564"
"DES","0"
"DGAT2","0.654729109274564"
"DIO1","0"
"DLGAP5","0"
"DLK1","0"
"DLK2","0"
"DPP6","0.654729109274564"
"DPT","0"
"DQX1","0"
"DUSP13","0"
"E2F8","0.654729109274564"
"EDN3","0"
